provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
optus,NBN (all connections),Optus Basic 25Mbps,25,5,79.0,49.0,6 months,No Lock-in,25,5,https://www.optus.com.au/internet/nbn
optus,NBN (all connections),Optus Everyday 50Mbps,50,10,95.0,65.0,6 months,No Lock-in,50,10,https://www.optus.com.au/internet/nbn
optus,"FTTN, FTTC, FTTB",Optus Fast 100Mbps,100,20,99.0,69.0,6 months,No Lock-in,100,20,https://www.optus.com.au/internet/nbn
optus,"FTTN, FTTC, FTTB",Optus Fast 100Mbps,100,20,119.0,109.0,12 months,No Lock-in,100,20,https://www.optus.com.au/internet/nbn
optus,"FTTP, HFC",Most Popular Optus Superfast 500Mbps,500,43,99.0,69.0,6 months,No Lock-in,500,43,https://www.optus.com.au/internet/nbn
optus,"FTTP, HFC",Optus Superfast 500Mbps,500,43,119.0,109.0,12 months,No Lock-in,500,43,https://www.optus.com.au/internet/nbn
optus,"FTTP, HFC",Optus Ultrafast 820Mbps,820,80,129.0,99.0,6 months,No Lock-in,820,80,https://www.optus.com.au/internet/nbn
