provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
tpg,NBN,NBN50,50.0,17.0,84.99,64.99,6 months,No Lock-in,50.0,17.0,https://www.tpg.com.au/nbn
tpg,NBN,NBN100,99.0,17.0,94.99,64.99,6 months,No Lock-in,99.0,17.0,https://www.tpg.com.au/nbn
tpg,NBN,NBN500,500.0,42.0,94.99,64.99,6 months,No Lock-in,500.0,42.0,https://www.tpg.com.au/nbn
tpg,NBN,NBN12,12.0,0.8,74.99,54.99,6 months,No Lock-in,12.0,0.8,https://www.tpg.com.au/nbn
tpg,NBN,NBN25,25.0,4.0,76.99,56.99,6 months,No Lock-in,25.0,4.0,https://www.tpg.com.au/nbn
tpg,NBN,NBN Home Superfast,740.0,42.0,99.99,69.99,6 months,No Lock-in,740.0,42.0,https://www.tpg.com.au/nbn
tpg,NBN,NBN Home Ultrafast,820.0,85.0,109.99,79.99,6 months,No Lock-in,820.0,85.0,https://www.tpg.com.au/nbn
