provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
superloop,FTTP Upgrade,Everyday 25/10,25,10,72.0,45.0,6 months,No Contract,0,0,https://www.superloop.com/flip-to-fibre/
superloop,FTTP Upgrade,Extra Value 50/20,50,20,85.0,65.0,6 months,No Contract,0,0,https://www.superloop.com/flip-to-fibre/
superloop,FTTP Upgrade,Family Max 500/50,500,50,95.0,69.0,6 months,No Contract,0,0,https://www.superloop.com/flip-to-fibre/
superloop,FTTP Upgrade,Megaspeed 750/50,750,50,104.0,75.0,6 months,No Contract,0,0,https://www.superloop.com/flip-to-fibre/
superloop,FTTP Upgrade,Lightspeed 1000/100,1000,100,109.0,85.0,6 months,No Contract,0,0,https://www.superloop.com/flip-to-fibre/
